VA Station Number,Services,Satisfaction,Wait Times
vha_515GB,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6700000166893005, 'primary_care_routine': 0.8799999952316284}","[{'service': 'Dermatology', 'new': 1.8, 'established': 3.5}, {'service': 'MentalHealthCare', 'new': 4.571428, 'established': 4.418032}, {'service': 'PrimaryCare', 'new': 12.5, 'established': 3.22958}, {'service': 'SpecialtyCare', 'new': 3.454545, 'established': 0.707317}]"
vha_515GC,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.699999988079071, 'primary_care_routine': 0.8799999952316284}","[{'service': 'Dermatology', 'new': 2.0, 'established': 3.5}, {'service': 'MentalHealthCare', 'new': 4.5, 'established': 2.695238}, {'service': 'PrimaryCare', 'new': 32.214285, 'established': 6.1417}, {'service': 'SpecialtyCare', 'new': 17.571428, 'established': 3.48}]"
vha_515QA,[],{},[]
vha_515QB,[],{},[]
vha_516,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.7099999785423279, 'primary_care_routine': 0.8299999833106995, 'specialty_care_urgent': 0.800000011920929, 'specialty_care_routine': 0.8299999833106995}","[{'service': 'Audiology', 'new': 22.89, 'established': 2.607382}, {'service': 'Cardiology', 'new': 14.591666, 'established': 6.958925}, {'service': 'Dermatology', 'new': 45.894977, 'established': 16.359701}, {'service': 'Gastroenterology', 'new': 47.142857, 'established': 12.258064}, {'service': 'Gynecology', 'new': 14.783783, 'established': 4.461538}, {'service': 'MentalHealthCare', 'new': 4.560975, 'established': 3.230827}, {'service': 'Ophthalmology', 'new': 47.0, 'established': 19.187919}, {'service': 'Optometry', 'new': 37.017391, 'established': 32.692307}, {'service': 'Orthopedics', 'new': 32.576642, 'established': 14.803191}, {'service': 'PrimaryCare', 'new': 18.092485, 'established': 2.714381}, {'service': 'SpecialtyCare', 'new': 21.846078, 'established': 12.465587}, {'service': 'Urology', 'new': 25.410256, 'established': 6.885245}, {'service': 'WomensHealth', 'new': 19.5, 'established': 4.227272}]"
vha_516BZ,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.7400000095367432, 'primary_care_routine': 0.8399999737739563}","[{'service': 'Audiology', 'new': 19.888888, 'established': 0.978873}, {'service': 'Cardiology', 'new': 29.13253, 'established': 9.657342}, {'service': 'Dermatology', 'new': 39.41958, 'established': 4.842857}, {'service': 'Gastroenterology', 'new': 19.021276, 'established': 1.352941}, {'service': 'Gynecology', 'new': 20.7, 'established': 6.189189}, {'service': 'MentalHealthCare', 'new': 3.24, 'established': 7.134564}, {'service': 'Ophthalmology', 'new': 14.696969, 'established': 9.575757}, {'service': 'Optometry', 'new': 38.358823, 'established': 14.611214}, {'service': 'Orthopedics', 'new': 32.5, 'established': 9.866666}, {'service': 'PrimaryCare', 'new': 32.268656, 'established': 2.450851}, {'service': 'SpecialtyCare', 'new': 22.869492, 'established': 8.922953}, {'service': 'Urology', 'new': 16.8125, 'established': 1.949152}, {'service': 'WomensHealth', 'new': 22.25, 'established': 7.928571}]"
vha_516GA,"['Audiology', 'Cardiology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8399999737739563, 'primary_care_routine': 0.9399999976158142}","[{'service': 'Audiology', 'new': 21.947368, 'established': 0.920731}, {'service': 'Cardiology', 'new': 5.0, 'established': 3.384615}, {'service': 'Gynecology', 'new': 10.0, 'established': 24.5}, {'service': 'MentalHealthCare', 'new': 2.0, 'established': 2.398496}, {'service': 'PrimaryCare', 'new': 37.681818, 'established': 13.102605}, {'service': 'SpecialtyCare', 'new': 16.906542, 'established': 2.044052}]"
vha_516GB,"['MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9700000286102295, 'primary_care_routine': 0.9399999976158142}","[{'service': 'MentalHealthCare', 'new': 4.0, 'established': 0.928571}, {'service': 'PrimaryCare', 'new': 6.666666, 'established': 1.204918}, {'service': 'SpecialtyCare', 'new': 4.0, 'established': 0.0}]"
vha_516GC,"['Audiology', 'Cardiology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7599999904632568, 'primary_care_routine': 0.9100000262260437}","[{'service': 'Audiology', 'new': 13.355555, 'established': 0.858585}, {'service': 'Cardiology', 'new': 16.5, 'established': 0.333333}, {'service': 'MentalHealthCare', 'new': None, 'established': 5.578947}, {'service': 'PrimaryCare', 'new': 33.470588, 'established': 2.694164}, {'service': 'SpecialtyCare', 'new': 12.466666, 'established': 0.714285}]"
vha_516GD,"['Audiology', 'Cardiology', 'DentalServices', 'Gynecology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7200000286102295, 'primary_care_routine': 0.7699999809265137}","[{'service': 'Audiology', 'new': 20.836734, 'established': 0.59633}, {'service': 'Cardiology', 'new': 14.0, 'established': 1.571428}, {'service': 'Gynecology', 'new': 30.75, 'established': 15.571428}, {'service': 'MentalHealthCare', 'new': 1.0, 'established': 1.6}, {'service': 'Optometry', 'new': 75.170212, 'established': 15.317152}, {'service': 'PrimaryCare', 'new': 59.589743, 'established': 11.78877}, {'service': 'SpecialtyCare', 'new': 35.743455, 'established': 11.218681}]"
vha_516GE,"['Cardiology', 'Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.5600000023841858, 'primary_care_routine': 0.8600000143051147}","[{'service': 'Cardiology', 'new': 2.25, 'established': 12.0}, {'service': 'Dermatology', 'new': 4.25, 'established': 15.5}, {'service': 'MentalHealthCare', 'new': 10.5, 'established': 1.09836}, {'service': 'Optometry', 'new': 114.578947, 'established': 23.940789}, {'service': 'PrimaryCare', 'new': 30.081632, 'established': 7.328445}, {'service': 'SpecialtyCare', 'new': 53.372093, 'established': 18.85}]"
vha_516GF,"['Audiology', 'Cardiology', 'Dermatology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7900000214576721, 'primary_care_routine': 0.8500000238418579}","[{'service': 'Audiology', 'new': 124.066666, 'established': 8.611111}, {'service': 'Cardiology', 'new': 2.0, 'established': 0.0}, {'service': 'Dermatology', 'new': 7.333333, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 6.54}, {'service': 'PrimaryCare', 'new': 20.140625, 'established': 12.68953}, {'service': 'SpecialtyCare', 'new': 41.734693, 'established': 3.467741}]"
vha_516GH,"['Audiology', 'Dermatology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7699999809265137, 'primary_care_routine': 0.9100000262260437}","[{'service': 'Audiology', 'new': 46.444444, 'established': 6.692307}, {'service': 'Dermatology', 'new': 0.0, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 2.098591}, {'service': 'PrimaryCare', 'new': 8.857142, 'established': 3.115089}, {'service': 'SpecialtyCare', 'new': 36.111111, 'established': 3.487179}]"
vha_517,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.8799999952316284, 'primary_care_routine': 0.9100000262260437, 'specialty_care_urgent': 0.9200000166893005, 'specialty_care_routine': 0.9599999785423279}","[{'service': 'Audiology', 'new': 89.0, 'established': 50.625}, {'service': 'Cardiology', 'new': 11.32258, 'established': 21.8}, {'service': 'Dermatology', 'new': 35.055555, 'established': 32.180327}, {'service': 'Gastroenterology', 'new': 40.777777, 'established': 8.15}, {'service': 'Gynecology', 'new': 15.0, 'established': 1.470588}, {'service': 'MentalHealthCare', 'new': 1.789473, 'established': 1.078796}, {'service': 'Optometry', 'new': 106.323529, 'established': 56.689944}, {'service': 'Orthopedics', 'new': 24.733333, 'established': 5.2875}, {'service': 'PrimaryCare', 'new': 24.849056, 'established': 13.200185}, {'service': 'SpecialtyCare', 'new': 51.888646, 'established': 34.915049}, {'service': 'Urology', 'new': 20.5, 'established': 0.7}, {'service': 'WomensHealth', 'new': 15.0, 'established': 1.470588}]"
vha_517GB,"['MentalHealthCare', 'PrimaryCare']","{'primary_care_urgent': 0.9399999976158142, 'primary_care_routine': 0.9700000286102295}","[{'service': 'MentalHealthCare', 'new': 6.333333, 'established': 3.210526}, {'service': 'PrimaryCare', 'new': 18.523809, 'established': 3.944444}]"
vha_517HK,[],{},[]
vha_517QA,"['MentalHealthCare', 'PrimaryCare']",{},"[{'service': 'MentalHealthCare', 'new': 15.0, 'established': 15.428571}, {'service': 'PrimaryCare', 'new': 34.941176, 'established': 12.967032}]"
vha_518,"['Audiology', 'DentalServices', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'UrgentCare', 'WomensHealth']","{'primary_care_urgent': 0.8999999761581421, 'primary_care_routine': 0.9599999785423279, 'specialty_care_urgent': 0.8999999761581421, 'specialty_care_routine': 0.9399999976158142}","[{'service': 'Audiology', 'new': 25.495934, 'established': 7.16}, {'service': 'Gynecology', 'new': 23.833333, 'established': 29.863636}, {'service': 'MentalHealthCare', 'new': 5.03125, 'established': 3.044628}, {'service': 'Ophthalmology', 'new': None, 'established': 1.333333}, {'service': 'Optometry', 'new': 6.807017, 'established': 51.97826}, {'service': 'PrimaryCare', 'new': 10.914285, 'established': 10.336483}, {'service': 'SpecialtyCare', 'new': 11.928433, 'established': 23.254555}, {'service': 'WomensHealth', 'new': 135.0, 'established': 40.75}]"
vha_518GA,"['MentalHealthCare', 'Podiatry', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9200000166893005},"[{'service': 'MentalHealthCare', 'new': None, 'established': 33.615384}, {'service': 'PrimaryCare', 'new': 14.3, 'established': 1.984375}, {'service': 'SpecialtyCare', 'new': 1.0, 'established': 72.8}]"
vha_518GB,"['MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.8999999761581421},"[{'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 7.166666, 'established': 9.907216}, {'service': 'SpecialtyCare', 'new': None, 'established': 99.5}]"
vha_518GE,"['MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9700000286102295},"[{'service': 'MentalHealthCare', 'new': None, 'established': 1.0}, {'service': 'PrimaryCare', 'new': 17.0, 'established': 7.891304}, {'service': 'SpecialtyCare', 'new': 7.666666, 'established': 64.166666}]"
vha_519,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'UrgentCare', 'WomensHealth']","{'primary_care_urgent': 0.7300000190734863, 'primary_care_routine': 0.7300000190734863, 'specialty_care_urgent': 0.8199999928474426}","[{'service': 'Audiology', 'new': 30.73913, 'established': 8.872093}, {'service': 'Cardiology', 'new': 6.6875, 'established': 3.714285}, {'service': 'Dermatology', 'new': 0.0, 'established': None}, {'service': 'Gynecology', 'new': None, 'established': 4.642857}, {'service': 'MentalHealthCare', 'new': 2.6, 'established': 5.064516}, {'service': 'Ophthalmology', 'new': 26.916666, 'established': 3.123689}, {'service': 'Optometry', 'new': 31.703703, 'established': 4.96732}, {'service': 'PrimaryCare', 'new': 8.625, 'established': 5.148305}, {'service': 'SpecialtyCare', 'new': 28.331983, 'established': 10.057675}, {'service': 'WomensHealth', 'new': None, 'established': 4.642857}]"
vha_519GA,"['Audiology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6200000047683716, 'primary_care_routine': 0.800000011920929}","[{'service': 'Audiology', 'new': 12.96875, 'established': 8.666666}, {'service': 'MentalHealthCare', 'new': 3.0, 'established': 8.464285}, {'service': 'PrimaryCare', 'new': 17.833333, 'established': 2.790322}, {'service': 'SpecialtyCare', 'new': 24.195652, 'established': 17.888888}]"
vha_519GB,"['MentalHealthCare', 'PrimaryCare']",{'primary_care_routine': 0.949999988079071},"[{'service': 'MentalHealthCare', 'new': 3.5, 'established': 3.051282}, {'service': 'PrimaryCare', 'new': 20.8, 'established': 3.027027}]"
vha_519GD,['PrimaryCare'],{},"[{'service': 'PrimaryCare', 'new': 7.5, 'established': 0.5}]"
vha_519HC,"['Audiology', 'Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9200000166893005},"[{'service': 'Audiology', 'new': 26.8, 'established': 5.157894}, {'service': 'Dermatology', 'new': 2.083333, 'established': None}, {'service': 'MentalHealthCare', 'new': 1.375, 'established': 10.345794}, {'service': 'Optometry', 'new': 20.52, 'established': 7.895833}, {'service': 'PrimaryCare', 'new': 11.461538, 'established': 12.37726}, {'service': 'SpecialtyCare', 'new': 22.96, 'established': 6.686046}]"
vha_519HF,"['Audiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6499999761581421, 'primary_care_routine': 0.7300000190734863}","[{'service': 'Audiology', 'new': 31.466666, 'established': 37.407407}, {'service': 'Dermatology', 'new': 2.0, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 6.8, 'established': 6.2521}, {'service': 'PrimaryCare', 'new': 11.26923, 'established': 2.424403}, {'service': 'SpecialtyCare', 'new': 20.44, 'established': 34.827586}]"
vha_520,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.5699999928474426, 'primary_care_routine': 0.7699999809265137, 'specialty_care_urgent': 0.6399999856948853, 'specialty_care_routine': 0.8100000023841858}","[{'service': 'Audiology', 'new': 24.706521, 'established': 7.536723}, {'service': 'Cardiology', 'new': 27.16279, 'established': 17.685258}, {'service': 'Dermatology', 'new': 17.2, 'established': 1.182692}, {'service': 'Gastroenterology', 'new': None, 'established': 30.125}, {'service': 'Gynecology', 'new': 16.0, 'established': 0.229166}, {'service': 'MentalHealthCare', 'new': 6.9, 'established': 1.464508}, {'service': 'Ophthalmology', 'new': 9.125, 'established': 12.82}, {'service': 'Optometry', 'new': None, 'established': 0.0}, {'service': 'Orthopedics', 'new': 19.954545, 'established': 5.318181}, {'service': 'PrimaryCare', 'new': 8.888888, 'established': 2.767699}, {'service': 'SpecialtyCare', 'new': 25.805273, 'established': 8.87548}, {'service': 'Urology', 'new': 44.708333, 'established': 12.435897}, {'service': 'WomensHealth', 'new': None, 'established': 0.25}]"
vha_520BZ,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.550000011920929, 'primary_care_routine': 0.6899999976158142}","[{'service': 'Audiology', 'new': 9.5, 'established': 0.087378}, {'service': 'Cardiology', 'new': 22.447368, 'established': 0.865384}, {'service': 'Dermatology', 'new': 52.762711, 'established': 35.07317}, {'service': 'Gastroenterology', 'new': 29.0, 'established': None}, {'service': 'Gynecology', 'new': 46.8, 'established': 1.378787}, {'service': 'MentalHealthCare', 'new': 9.247706, 'established': 2.301063}, {'service': 'Orthopedics', 'new': 2.5, 'established': 0.636363}, {'service': 'PrimaryCare', 'new': 14.349397, 'established': 3.874345}, {'service': 'SpecialtyCare', 'new': 17.484848, 'established': 6.431818}, {'service': 'Urology', 'new': 15.5, 'established': 8.776315}, {'service': 'WomensHealth', 'new': 1.666666, 'established': 0.693548}]"
vha_520GA,"['Audiology', 'Dermatology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'WomensHealth']","{'primary_care_urgent': 0.75, 'primary_care_routine': 0.8600000143051147}","[{'service': 'Audiology', 'new': 26.206349, 'established': 2.663157}, {'service': 'Dermatology', 'new': 5.210526, 'established': 0.666666}, {'service': 'Gynecology', 'new': 52.0, 'established': 11.5}, {'service': 'MentalHealthCare', 'new': 6.0, 'established': 1.554054}, {'service': 'Orthopedics', 'new': 12.5, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 8.175, 'established': 1.699376}, {'service': 'SpecialtyCare', 'new': 20.744897, 'established': 17.257383}, {'service': 'WomensHealth', 'new': None, 'established': 18.1}]"
vha_520GB,"['MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6899999976158142, 'primary_care_routine': 0.8999999761581421}","[{'service': 'MentalHealthCare', 'new': 2.333333, 'established': 0.463414}, {'service': 'PrimaryCare', 'new': 4.388888, 'established': 1.256666}, {'service': 'SpecialtyCare', 'new': 22.4, 'established': 0.0}]"
vha_520GC,"['Gynecology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare', 'WomensHealth']","{'primary_care_urgent': 0.7300000190734863, 'primary_care_routine': 0.8799999952316284}","[{'service': 'Gynecology', 'new': 5.666666, 'established': 3.926829}, {'service': 'MentalHealthCare', 'new': 3.2, 'established': 4.592592}, {'service': 'PrimaryCare', 'new': 7.75862, 'established': 2.050228}, {'service': 'SpecialtyCare', 'new': 1.0, 'established': 2.75}, {'service': 'WomensHealth', 'new': 5.666666, 'established': 3.926829}]"
vha_520QA,"['Audiology', 'MentalHealthCare', 'Nutrition', 'SpecialtyCare']",{},"[{'service': 'Audiology', 'new': 0.636363, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 5.0, 'established': 1.905405}, {'service': 'SpecialtyCare', 'new': 0.636363, 'established': 0.0}]"
vha_521,"['Cardiology', 'DentalServices', 'Dermatology', 'Gastroenterology', 'MentalHealthCare', 'Nutrition', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology']","{'primary_care_routine': 0.8100000023841858, 'specialty_care_urgent': 0.800000011920929, 'specialty_care_routine': 0.8399999737739563}","[{'service': 'Cardiology', 'new': 26.303571, 'established': 12.364016}, {'service': 'Dermatology', 'new': 38.666666, 'established': 19.710382}, {'service': 'Gastroenterology', 'new': 11.0, 'established': 21.285714}, {'service': 'MentalHealthCare', 'new': 5.777777, 'established': 1.004604}, {'service': 'Orthopedics', 'new': 16.826086, 'established': 8.432432}, {'service': 'PrimaryCare', 'new': 4.0, 'established': 2.805}, {'service': 'SpecialtyCare', 'new': 26.232415, 'established': 16.53889}, {'service': 'Urology', 'new': 20.457142, 'established': 7.825581}]"
vha_521GA,"['Audiology', 'Dermatology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Optometry', 'PrimaryCare', 'SpecialtyCare', 'WomensHealth']","{'primary_care_urgent': 0.8299999833106995, 'primary_care_routine': 0.9100000262260437}","[{'service': 'Audiology', 'new': 9.82258, 'established': 0.0}, {'service': 'Dermatology', 'new': 0.571428, 'established': 0.571428}, {'service': 'Gynecology', 'new': 14.0, 'established': 0.416666}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 2.662337}, {'service': 'Optometry', 'new': 65.230769, 'established': 28.134751}, {'service': 'PrimaryCare', 'new': 1.8125, 'established': 1.229437}, {'service': 'SpecialtyCare', 'new': 12.779661, 'established': 8.933601}, {'service': 'WomensHealth', 'new': 14.0, 'established': 0.416666}]"
vha_521GC,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6800000071525574, 'primary_care_routine': 0.8399999737739563}","[{'service': 'Dermatology', 'new': 0.666666, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 0.833333, 'established': 0.14379}, {'service': 'SpecialtyCare', 'new': 0.666666, 'established': 0.0}]"
vha_521GD,"['Dermatology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8100000023841858, 'primary_care_routine': 0.699999988079071}","[{'service': 'Dermatology', 'new': 0.25, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 16.0, 'established': 12.847222}, {'service': 'SpecialtyCare', 'new': 0.25, 'established': 0.0}]"
vha_521GE,"['Audiology', 'Dermatology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7799999713897705, 'primary_care_routine': 0.9399999976158142}","[{'service': 'Audiology', 'new': 6.0, 'established': 1.25}, {'service': 'Dermatology', 'new': 0.125, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': None, 'established': 1.923076}, {'service': 'PrimaryCare', 'new': 3.0, 'established': 0.484615}, {'service': 'SpecialtyCare', 'new': 0.777777, 'established': 0.833333}]"
vha_521GF,"['Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9599999785423279},"[{'service': 'Dermatology', 'new': 0.0, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.09375}, {'service': 'Optometry', 'new': 44.333333, 'established': 18.9}, {'service': 'PrimaryCare', 'new': 4.555555, 'established': 0.303797}, {'service': 'SpecialtyCare', 'new': 20.461538, 'established': 18.9}]"
vha_521GG,"['Dermatology', 'MentalHealthCare', 'Nutrition', 'Optometry', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9800000190734863},"[{'service': 'Dermatology', 'new': 1.0, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'Optometry', 'new': None, 'established': 89.910447}, {'service': 'PrimaryCare', 'new': 21.0, 'established': 1.602564}, {'service': 'SpecialtyCare', 'new': 5.0, 'established': 80.32}]"
vha_521GH,"['MentalHealthCare', 'Nutrition', 'PrimaryCare']","{'primary_care_urgent': 0.7200000286102295, 'primary_care_routine': 0.8700000047683716}","[{'service': 'MentalHealthCare', 'new': None, 'established': 0.25}, {'service': 'PrimaryCare', 'new': 8.666666, 'established': 0.88372}]"
vha_521GI,"['Dermatology', 'MentalHealthCare', 'Nutrition', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8999999761581421, 'primary_care_routine': 0.9700000286102295}","[{'service': 'Dermatology', 'new': 0.0, 'established': 37.0}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.903846}, {'service': 'Optometry', 'new': 3.666666, 'established': 10.807692}, {'service': 'PrimaryCare', 'new': None, 'established': 0.05}, {'service': 'SpecialtyCare', 'new': 1.833333, 'established': 11.777777}]"
vha_521GJ,"['Audiology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare', 'WomensHealth']",{},"[{'service': 'Audiology', 'new': 9.260273, 'established': 2.072164}, {'service': 'Gynecology', 'new': 35.666666, 'established': 1.781512}, {'service': 'MentalHealthCare', 'new': None, 'established': 1.4}, {'service': 'PrimaryCare', 'new': 6.0, 'established': 2.718266}, {'service': 'SpecialtyCare', 'new': 9.029197, 'established': 3.611363}, {'service': 'WomensHealth', 'new': 13.666666, 'established': 0.531531}]"
vha_521QA,"['Ophthalmology', 'Optometry', 'SpecialtyCare']",{},"[{'service': 'Ophthalmology', 'new': 12.058823, 'established': 5.438645}, {'service': 'Optometry', 'new': 70.74468, 'established': 27.922459}, {'service': 'SpecialtyCare', 'new': 55.15625, 'established': 13.203139}]"
vha_523,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'UrgentCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.8999999761581421, 'primary_care_routine': 0.949999988079071, 'specialty_care_urgent': 0.8299999833106995, 'specialty_care_routine': 0.949999988079071}","[{'service': 'Audiology', 'new': 16.960144, 'established': 1.911483}, {'service': 'Cardiology', 'new': None, 'established': 0.0}, {'service': 'Dermatology', 'new': 34.870967, 'established': 30.748251}, {'service': 'Gastroenterology', 'new': 26.375, 'established': 7.5}, {'service': 'Gynecology', 'new': 18.944444, 'established': 9.418918}, {'service': 'MentalHealthCare', 'new': 5.229729, 'established': 1.299076}, {'service': 'Ophthalmology', 'new': 26.714285, 'established': 10.390016}, {'service': 'Optometry', 'new': 24.160714, 'established': 6.3}, {'service': 'Orthopedics', 'new': 25.840909, 'established': 8.667785}, {'service': 'PrimaryCare', 'new': 18.46875, 'established': 9.209016}, {'service': 'SpecialtyCare', 'new': 19.030723, 'established': 11.464994}, {'service': 'Urology', 'new': 14.714285, 'established': 6.370892}, {'service': 'WomensHealth', 'new': 35.375, 'established': 12.175}]"
vha_523A4,"['Cardiology', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'MentalHealthCare', 'Nutrition', 'Optometry', 'PrimaryCare', 'SpecialtyCare', 'Urology']","{'primary_care_urgent': 0.9700000286102295, 'primary_care_routine': 0.8199999928474426}","[{'service': 'Cardiology', 'new': 17.804878, 'established': 24.648148}, {'service': 'Dermatology', 'new': 34.15, 'established': 20.885245}, {'service': 'Gastroenterology', 'new': 32.666666, 'established': 9.333333}, {'service': 'MentalHealthCare', 'new': 4.4, 'established': 0.015384}, {'service': 'Optometry', 'new': 21.0, 'established': 4.519685}, {'service': 'PrimaryCare', 'new': 14.214285, 'established': 4.767515}, {'service': 'SpecialtyCare', 'new': 16.636718, 'established': 12.03428}, {'service': 'Urology', 'new': None, 'established': 3.631578}]"
vha_523A5,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Optometry', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'UrgentCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.9599999785423279, 'primary_care_routine': 0.9800000190734863}","[{'service': 'Audiology', 'new': 28.0, 'established': 2.727272}, {'service': 'Cardiology', 'new': 5.0, 'established': 3.857142}, {'service': 'Dermatology', 'new': 38.35, 'established': 12.236111}, {'service': 'Gastroenterology', 'new': 27.333333, 'established': 48.666666}, {'service': 'Gynecology', 'new': 9.5, 'established': 0.703703}, {'service': 'MentalHealthCare', 'new': 13.066666, 'established': 1.901204}, {'service': 'Optometry', 'new': 20.369565, 'established': 2.239808}, {'service': 'PrimaryCare', 'new': 10.34375, 'established': 6.039175}, {'service': 'SpecialtyCare', 'new': 22.196652, 'established': 9.080645}, {'service': 'Urology', 'new': 41.125, 'established': 10.025}, {'service': 'WomensHealth', 'new': 9.0, 'established': 0.510638}]"
